Combo Name,Pairing,Description,Cautions,Advice/Recommendations
Spark vs. Sting,C-W-G x P-N-N,Joyful giver meets pained neutral—cheer vs. apathy.,Sprinkler’s joy may annoy Sting; Sting may dim Sprinkler.,Sprinkler: Listen first. Sting: Signal needs clearly.
Craver vs. Beacon,C-W-N x C-N-G,Content craver meets content giver—calm longing vs. steady peace.,Craver may exhaust Beacon; Beacon may tire.,Craver: Accept calm. Beacon: Be patient.
Craver vs. Drift,C-W-N x C-N-N,Content craver meets content drifter—calm longing vs. serene calm.,Craver may stir Drift; Drift may ignore Craver.,Craver: Be gentle. Drift: Acknowledge need.
Craver vs. Keeper,C-W-N x C-N-R,Content craver meets content receiver—calm longing vs. peaceful take.,Craver may disrupt Keeper; Keeper may seem aloof.,Craver: Calm demands. Keeper: Engage lightly.
Craver vs. Toiler,C-W-N x C-O-G,Content craver meets content giver—calm longing vs. joyful duty.,Craver may lean on Toiler; Toiler may overgive.,Craver: Reciprocate. Toiler: Balance giving.
Craver vs. Yoke,C-W-N x C-O-N,Content craver meets content drifter—calm longing vs. light duty.,Craver may disrupt Yoke; Yoke may seem distant.,Craver: Ease up. Yoke: Connect gently.
Craver vs. Duty,C-W-N x C-O-R,Content craver meets content duty-taker—calm longing vs. glad receipt.,Craver may envy Duty; Duty may push Craver.,Craver: Share wants. Duty: Offer light aid.
Craver vs. Sprinkler,C-W-N x C-W-G,Content craver meets content giver—calm longing vs. joyful offer.,Craver may lean on Sprinkler; Sprinkler may overwhelm.,Craver: Accept joy. Sprinkler: Tone it down.
Twin Peace Cravers,C-W-N x C-W-N,"Both content, wanting, neutral—calmly yearning together.",Inaction on wants could lead to drift.,Act on a shared craving to deepen the bond.
Hunter vs. Beacon,C-W-R x C-N-G,Content seeker meets content giver—joyful want vs. steady peace.,Hunter may exhaust Beacon; Beacon may tire.,Hunter: Accept calm. Beacon: Be patient.
Hunter vs. Drift,C-W-R x C-N-N,Content seeker meets content drifter—joyful want vs. serene calm.,Hunter may stir Drift; Drift may ignore Hunter.,Hunter: Be gentle. Drift: Acknowledge need.
Hunter vs. Keeper,C-W-R x C-N-R,Content seeker meets content receiver—joyful want vs. peaceful take.,Hunter may disrupt Keeper; Keeper may seem aloof.,Hunter: Calm demands. Keeper: Engage lightly.
Hunter vs. Toiler,C-W-R x C-O-G,Content seeker meets content giver—joyful want vs. joyful duty.,Hunter may lean on Toiler; Toiler may overgive.,Hunter: Reciprocate. Toiler: Balance giving.
Hunter vs. Yoke,C-W-R x C-O-N,Content seeker meets content drifter—joyful want vs. light duty.,Hunter may disrupt Yoke; Yoke may seem distant.,Hunter: Ease up. Yoke: Connect gently.
Hunter vs. Duty,C-W-R x C-O-R,Content seeker meets content duty-taker—joyful want vs. glad receipt.,Hunter may overwhelm Duty; Duty may resist.,Hunter: Share wants. Duty: Offer light aid.
Hunter vs. Sprinkler,C-W-R x C-W-G,Content seeker meets content giver—joyful want vs. joyful offer.,Hunter may lean on Sprinkler; Sprinkler may overgive.,Hunter: Reciprocate. Sprinkler: Balance giving.
Hunter vs. Craver,C-W-R x C-W-N,Content seeker meets content craver—joyful want vs. calm longing.,Hunter may overwhelm Craver; Craver may detach.,Hunter: Tone it down. Craver: Express want.
Dual Bliss Hunters,C-W-R x C-W-R,"Both content, wanting, receiving—eagerly soaking in joy.",Overindulgence or selfishness could strain.,Share the bounty; keep it mutual.
Bliss vs. Bleeder,C-W-R x P-N-G,Content seeker meets pained giver—joy vs. quiet sacrifice.,Hunter may overlook Bleeder’s pain; Bleeder may resent Hunter’s ease.,Hunter: Notice the giving. Bleeder: Express your strain.
Flow vs. Beacon,N-N-G x C-N-G,Neutral giver meets content giver—steady offer vs. steady peace.,Both may overgive; balance may falter.,Flow: Accept calm. Beacon: Match effort.
Flow vs. Drift,N-N-G x C-N-N,Neutral giver meets content drifter—steady offer vs. serene calm.,Flow may stir Drift; Drift may ignore Flow.,Flow: Be gentle. Drift: Acknowledge effort.
Flow vs. Keeper,N-N-G x C-N-R,Neutral giver meets content receiver—steady offer vs. peaceful take.,Flow may disrupt Keeper; Keeper may seem aloof.,Flow: Calm giving. Keeper: Engage lightly.
Flow vs. Toiler,N-N-G x C-O-G,Neutral giver meets content giver—steady offer vs. joyful duty.,Flow may lean on Toiler; Toiler may overgive.,Flow: Reciprocate. Toiler: Balance giving.
Flow vs. Yoke,N-N-G x C-O-N,Neutral giver meets content drifter—steady offer vs. light duty.,Flow may disrupt Yoke; Yoke may seem distant.,Flow: Ease up. Yoke: Connect gently.
Flow vs. Duty,N-N-G x C-O-R,Neutral giver meets content duty-taker—steady offer vs. glad receipt.,Flow may envy Duty; Duty may lean on Flow.,Flow: Share needs. Duty: Reciprocate.
Flow vs. Sprinkler,N-N-G x C-W-G,Neutral giver meets content giver—steady offer vs. joyful offer.,Flow may be outshone; Sprinkler may overwhelm.,Flow: Match joy. Sprinkler: Tone it down.
Flow vs. Craver,N-N-G x C-W-N,Neutral giver meets content craver—steady offer vs. calm longing.,Flow may resent Craver’s ease; Craver may detach.,Flow: Express needs. Craver: Offer soft support.
Flow vs. Hunter,N-N-G x C-W-R,Neutral giver meets content seeker—steady offer vs. joyful want.,Flow may envy Hunter; Hunter may lean on Flow.,Flow: Share wants. Hunter: Reciprocate.
Paired Even Flows,N-N-G x N-N-G,"Both neutral, neutral, giving—steadily contributing.",Giving without need could feel rote.,Check if giving aligns with desires; adjust if needed.
Flow vs. Hand,N-N-G x N-O-G,Neutral giver meets neutral giver—steady offer vs. reliable duty.,Both may overgive; no receiving.,Flow: Pause giving. Hand: Match effort.
Flow vs. Glide,N-N-G x N-O-N,Neutral giver meets neutral drifter—steady offer vs. duty-bound calm.,Flow may push Glide; Glide may withdraw.,Flow: Be patient. Glide: Meet halfway.
Flow vs. Fetcher,N-N-G x N-O-R,Neutral giver meets neutral duty-taker—steady offer vs. calm receipt.,Flow may overload Fetcher; Fetcher may resist.,Flow: Ease giving. Fetcher: Share pace.
Echo vs. Beacon,N-N-N x C-N-G,Neutral flat meets content giver—stasis vs. steady peace.,Echo may exhaust Beacon; Beacon may tire.,Echo: Accept calm. Beacon: Be patient.
Echo vs. Drift,N-N-N x C-N-N,Neutral flat meets content drifter—stasis vs. serene calm.,Echo may stir Drift; Drift may ignore Echo.,Echo: Be gentle. Drift: Acknowledge need.
Echo vs. Keeper,N-N-N x C-N-R,Neutral flat meets content receiver—stasis vs. peaceful take.,Echo may disrupt Keeper; Keeper may seem aloof.,Echo: Engage lightly. Keeper: Respond a bit.
Echo vs. Toiler,N-N-N x C-O-G,Neutral flatness meets content toiler—stasis vs. happy duty.,Echo may bore Toiler; Toiler may push Echo too hard.,Echo: Match some effort. Toiler: Respect the stillness.
Echo vs. Toiler,N-N-N x C-O-G,Neutral flat meets content giver—stasis vs. joyful duty.,Echo may lean on Toiler; Toiler may overgive.,Echo: Reciprocate. Toiler: Balance giving.
Echo vs. Yoke,N-N-N x C-O-N,Neutral flat meets content drifter—stasis vs. light duty.,Echo may disrupt Yoke; Yoke may seem distant.,Echo: Ease up. Yoke: Connect gently.
Echo vs. Duty,N-N-N x C-O-R,Neutral flat meets content duty-taker—stasis vs. glad receipt.,Echo may envy Duty; Duty may push Echo.,Echo: Share needs. Duty: Offer light aid.
Echo vs. Sprinkler,N-N-N x C-W-G,Neutral flat meets content giver—stasis vs. joyful offer.,Echo may lean on Sprinkler; Sprinkler may overwhelm.,Echo: Accept joy. Sprinkler: Tone it down.
Echo vs. Craver,N-N-N x C-W-N,Neutral flat meets content craver—stasis vs. calm longing.,Echo may resent Craver’s ease; Craver may detach.,Echo: Express need. Craver: Offer soft support.
Echo vs. Hunter,N-N-N x C-W-R,Neutral flat meets content seeker—stasis vs. joyful want.,Echo may dim Hunter; Hunter may overwhelm Echo.,Echo: Signal needs. Hunter: Tone it down.
Echo vs. Flow,N-N-N x N-N-G,Neutral flat meets neutral giver—stasis vs. steady offer.,Echo may lean on Flow; Flow may feel used.,Echo: Reciprocate. Flow: Keep it light.
Echoed Flatness,N-N-N x N-N-N,"Both neutral, neutral, neutral—steady but unremarkable.",Boredom or disconnection if unchallenged.,"Add variety (e.g., a trip) to stir things up."
Echo vs. Hand,N-N-N x N-O-G,Neutral flat meets neutral giver—stasis vs. reliable duty.,Echo may drain Hand; Hand may judge Echo.,Echo: Thank Hand. Hand: Offer steady help.
Echo vs. Glide,N-N-N x N-O-N,Neutral flat meets neutral drifter—stasis vs. duty-bound calm.,Both may stagnate; no spark.,Echo: Stir lightly. Glide: Meet halfway.
Echo vs. Fetcher,N-N-N x N-O-R,Neutral flat meets neutral duty-taker—stasis vs. calm receipt.,Echo may burden Fetcher; Fetcher may resist.,Echo: Engage slightly. Fetcher: Share pace.
Sponge vs. Beacon,N-N-R x C-N-G,Neutral receiver meets content giver—passivity vs. steady peace.,Sponge may exhaust Beacon; Beacon may tire.,Sponge: Accept calm. Beacon: Be patient.
Sponge vs. Drift,N-N-R x C-N-N,Neutral receiver meets content drifter—passivity vs. serene calm.,Sponge may stir Drift; Drift may ignore Sponge.,Sponge: Be gentle. Drift: Acknowledge need.
Sponge vs. Keeper,N-N-R x C-N-R,Neutral receiver meets content receiver—passivity vs. peaceful take.,Both may stagnate; no initiative.,Sponge: Suggest action. Keeper: Engage lightly.
Sponge vs. Toiler,N-N-R x C-O-G,Neutral receiver meets content giver—passivity vs. joyful duty.,Sponge may lean on Toiler; Toiler may overgive.,Sponge: Reciprocate. Toiler: Balance giving.
Sponge vs. Yoke,N-N-R x C-O-N,Neutral receiver meets content drifter—passivity vs. light duty.,Sponge may disrupt Yoke; Yoke may seem distant.,Sponge: Ease up. Yoke: Connect gently.
Sponge vs. Duty,N-N-R x C-O-R,Neutral receiver meets content duty-taker—passivity vs. glad receipt.,Sponge may envy Duty; Duty may push Sponge.,Sponge: Share needs. Duty: Offer light aid.
Sponge vs. Sprinkler,N-N-R x C-W-G,Neutral receiver meets content giver—passivity vs. joyful offer.,Sponge may lean on Sprinkler; Sprinkler may overwhelm.,Sponge: Accept joy. Sprinkler: Tone it down.
Sponge vs. Craver,N-N-R x C-W-N,Neutral receiver meets content craver—passivity vs. calm longing.,Sponge may resent Craver’s ease; Craver may detach.,Sponge: Express need. Craver: Offer soft support.
Sponge vs. Hunter,N-N-R x C-W-R,Neutral receiver meets content seeker—passivity vs. joyful want.,Sponge may dim Hunter; Hunter may overwhelm Sponge.,Sponge: Signal needs. Hunter: Tone it down.
Sponge vs. Flow,N-N-R x N-N-G,Neutral receiver meets neutral giver—passivity vs. steady offer.,Sponge may lean on Flow; Flow may feel used.,Sponge: Reciprocate. Flow: Keep it light.
Sponge vs. Echo,N-N-R x N-N-N,Neutral receiver meets neutral flat—passivity vs. stasis.,Risk of total stagnation; no energy.,Sponge: Suggest action. Echo: Respond minimally.
Double Still Sponges,N-N-R x N-N-R,"Both neutral, neutral, receiving—passively taking in.",Lack of energy or initiative may stall reunion.,Spark a joint activity to break the stillness.
Sponge vs. Hand,N-N-R x N-O-G,Neutral receiver meets neutral giver—passivity vs. reliable duty.,Sponge may drain Hand; Hand may judge Sponge.,Sponge: Thank Hand. Hand: Offer steady help.
Sponge vs. Glide,N-N-R x N-O-N,Neutral receiver meets neutral drifter—passivity vs. duty-bound calm.,Sponge may push Glide; Glide may withdraw.,Sponge: Be patient. Glide: Meet halfway.
Sponge vs. Fetcher,N-N-R x N-O-R,Neutral receiver meets neutral duty-taker—passivity vs. calm receipt.,Sponge may burden Fetcher; Fetcher may resist.,Sponge: Ease demands. Fetcher: Share pace.
Hand vs. Beacon,N-O-G x C-N-G,Neutral giver meets content giver—reliable duty vs. steady peace.,Both may overgive; balance may falter.,Hand: Accept calm. Beacon: Match effort.
Hand vs. Drift,N-O-G x C-N-N,Neutral giver meets content drifter—reliable duty vs. serene calm.,Hand may stir Drift; Drift may ignore Hand.,Hand: Be gentle. Drift: Acknowledge effort.
Hand vs. Keeper,N-O-G x C-N-R,Neutral giver meets content receiver—reliable duty vs. peaceful take.,Hand may disrupt Keeper; Keeper may seem aloof.,Hand: Calm giving. Keeper: Engage lightly.
Hand vs. Toiler,N-O-G x C-O-G,Neutral giver meets content giver—reliable duty vs. joyful duty.,Hand may lean on Toiler; Toiler may overgive.,Hand: Reciprocate. Toiler: Balance giving.
Hand vs. Yoke,N-O-G x C-O-N,Neutral giver meets content drifter—reliable duty vs. light duty.,Hand may disrupt Yoke; Yoke may seem distant.,Hand: Ease up. Yoke: Connect gently.
Hand vs. Duty,N-O-G x C-O-R,Neutral giver meets content duty-taker—reliable duty vs. glad receipt.,Hand may envy Duty; Duty may lean on Hand.,Hand: Share needs. Duty: Reciprocate.
Hand vs. Sprinkler,N-O-G x C-W-G,Neutral giver meets content giver—reliable duty vs. joyful offer.,Hand may be outshone; Sprinkler may overwhelm.,Hand: Match joy. Sprinkler: Tone it down.
Hand vs. Craver,N-O-G x C-W-N,Neutral giver meets content craver—reliable duty vs. calm longing.,Hand may resent Craver’s ease; Craver may detach.,Hand: Express needs. Craver: Offer soft support.
Hand vs. Hunter,N-O-G x C-W-R,Neutral giver meets content seeker—reliable duty vs. joyful want.,Hand may envy Hunter; Hunter may lean on Hand.,Hand: Share wants. Hunter: Reciprocate.
Paired Steady Hands,N-O-G x N-O-G,"Both neutral, obligated, giving—reliably serving.",Duty may feel mechanical; burnout if unrewarded.,Celebrate small wins together to keep it meaningful.
Glide vs. Beacon,N-O-N x C-N-G,Neutral drifter meets content giver—duty-bound calm vs. steady peace.,Glide may exhaust Beacon; Beacon may tire.,Glide: Accept calm. Beacon: Be patient.
Glide vs. Drift,N-O-N x C-N-N,Neutral drifter meets content drifter—duty-bound calm vs. serene calm.,Glide may stir Drift; Drift may ignore Glide.,Glide: Be gentle. Drift: Acknowledge need.
Glide vs. Keeper,N-O-N x C-N-R,Neutral drifter meets content receiver—duty-bound calm vs. peaceful take.,Glide may disrupt Keeper; Keeper may seem aloof.,Glide: Calm demands. Keeper: Engage lightly.
Glide vs. Toiler,N-O-N x C-O-G,Neutral drifter meets content giver—duty-bound calm vs. joyful duty.,Glide may lean on Toiler; Toiler may overgive.,Glide: Reciprocate. Toiler: Balance giving.
Glide vs. Yoke,N-O-N x C-O-N,Neutral drifter meets content drifter—duty-bound calm vs. light duty.,Glide may disrupt Yoke; Yoke may seem distant.,Glide: Ease up. Yoke: Connect gently.
Drift vs. Duty,N-O-N x C-O-R,Neutral drifter meets content duty-taker—calm vs. cheer.,Glide may find Glad too chipper; Glad may push Glide.,Glide: Share your pace. Glad: Respect quieter energy.
Glide vs. Duty,N-O-N x C-O-R,Neutral drifter meets content duty-taker—duty-bound calm vs. glad receipt.,Glide may envy Duty; Duty may push Glide.,Glide: Share needs. Duty: Offer light aid.
Glide vs. Sprinkler,N-O-N x C-W-G,Neutral drifter meets content giver—duty-bound calm vs. joyful offer.,Glide may lean on Sprinkler; Sprinkler may overwhelm.,Glide: Accept joy. Sprinkler: Tone it down.
Glide vs. Craver,N-O-N x C-W-N,Neutral drifter meets content craver—duty-bound calm vs. calm longing.,Glide may resent Craver’s ease; Craver may detach.,Glide: Express need. Craver: Offer soft support.
Glide vs. Hunter,N-O-N x C-W-R,Neutral drifter meets content seeker—duty-bound calm vs. joyful want.,Glide may dim Hunter; Hunter may overwhelm Glide.,Glide: Signal needs. Hunter: Tone it down.
Glide vs. Hand,N-O-N x N-O-G,Neutral drifter meets neutral giver—duty-bound calm vs. reliable duty.,Glide may drain Hand; Hand may judge Glide.,Glide: Thank Hand. Hand: Offer steady help.
Double Duty Glides,N-O-N x N-O-N,"Both neutral, obligated, neutral—gliding through duty.",Lack of passion could dull the reunion.,Find a shared joy to complement the duty.
Fetcher vs. Beacon,N-O-R x C-N-G,Neutral duty-taker meets content giver—calm receipt vs. steady peace.,Fetcher may exhaust Beacon; Beacon may tire.,Fetcher: Accept calm. Beacon: Be patient.
Fetcher vs. Drift,N-O-R x C-N-N,Neutral duty-taker meets content drifter—calm receipt vs. serene calm.,Fetcher may stir Drift; Drift may ignore Fetcher.,Fetcher: Be gentle. Drift: Acknowledge need.
Fetcher vs. Keeper,N-O-R x C-N-R,Neutral duty-taker meets content receiver—calm receipt vs. peaceful take.,Fetcher may disrupt Keeper; Keeper may seem aloof.,Fetcher: Calm demands. Keeper: Engage lightly.
Fetcher vs. Toiler,N-O-R x C-O-G,Neutral duty-taker meets content giver—calm receipt vs. joyful duty.,Fetcher may lean on Toiler; Toiler may overgive.,Fetcher: Reciprocate. Toiler: Balance giving.
Fetcher vs. Yoke,N-O-R x C-O-N,Neutral duty-taker meets content drifter—calm receipt vs. light duty.,Fetcher may disrupt Yoke; Yoke may seem distant.,Fetcher: Ease up. Yoke: Connect gently.
Fetcher vs. Duty,N-O-R x C-O-R,Neutral duty-taker meets content duty-taker—calm receipt vs. glad receipt.,Fetcher may envy Duty; Duty may push Fetcher.,Fetcher: Share needs. Duty: Offer light aid.
Fetcher vs. Sprinkler,N-O-R x C-W-G,Neutral duty-taker meets content giver—calm receipt vs. joyful offer.,Fetcher may lean on Sprinkler; Sprinkler may overwhelm.,Fetcher: Accept joy. Sprinkler: Tone it down.
Fetcher vs. Craver,N-O-R x C-W-N,Neutral duty-taker meets content craver—calm receipt vs. calm longing.,Fetcher may resent Craver’s ease; Craver may detach.,Fetcher: Express need. Craver: Offer soft support.
Fetcher vs. Hunter,N-O-R x C-W-R,Neutral duty-taker meets content seeker—calm receipt vs. joyful want.,Fetcher may envy Hunter; Hunter may overwhelm Fetcher.,Fetcher: Share wants. Hunter: Tone it down.
Fetcher vs. Hand,N-O-R x N-O-G,Neutral duty-taker meets neutral giver—calm receipt vs. reliable duty.,Fetcher may drain Hand; Hand may judge Fetcher.,Fetcher: Thank Hand. Hand: Offer steady help.
Fetcher vs. Glide,N-O-R x N-O-N,Neutral duty-taker meets neutral drifter—calm receipt vs. duty-bound calm.,Fetcher may push Glide; Glide may withdraw.,Fetcher: Be patient. Glide: Meet halfway.
Twin Task Fetchers,N-O-R x N-O-R,"Both neutral, obligated, receiving—dutifully accepting tasks.",Duty might overshadow connection; fatigue.,Prioritize fun after tasks to reconnect.
Sharer vs. Beacon,N-W-G x C-N-G,Neutral giver meets content giver—gentle offer vs. steady peace.,Sharer may exhaust Beacon; Beacon may tire.,Sharer: Accept calm. Beacon: Be patient.
Sharer vs. Drift,N-W-G x C-N-N,Neutral giver meets content drifter—gentle offer vs. serene calm.,Sharer may stir Drift; Drift may ignore Sharer.,Sharer: Be gentle. Drift: Acknowledge effort.
Sharer vs. Keeper,N-W-G x C-N-R,Neutral giver meets content receiver—gentle offer vs. peaceful take.,Sharer may disrupt Keeper; Keeper may seem aloof.,Sharer: Calm giving. Keeper: Engage lightly.
Sharer vs. Toiler,N-W-G x C-O-G,Neutral giver meets content giver—gentle offer vs. joyful duty.,Sharer may lean on Toiler; Toiler may overgive.,Sharer: Reciprocate. Toiler: Balance giving.
Sharer vs. Yoke,N-W-G x C-O-N,Neutral giver meets content drifter—gentle offer vs. light duty.,Sharer may disrupt Yoke; Yoke may seem distant.,Sharer: Ease up. Yoke: Connect gently.
Sharer vs. Duty,N-W-G x C-O-R,Neutral giver meets content duty-taker—gentle offer vs. glad receipt.,Sharer may envy Duty; Duty may lean on Sharer.,Sharer: Share needs. Duty: Reciprocate.
Sharer vs. Sprinkler,N-W-G x C-W-G,Neutral giver meets content giver—gentle offer vs. joyful offer.,Both may overgive; Sprinkler may overwhelm.,Sharer: Match joy. Sprinkler: Tone it down.
Sharer vs. Craver,N-W-G x C-W-N,Neutral giver meets content craver—gentle offer vs. calm longing.,Sharer may resent Craver’s ease; Craver may detach.,Sharer: Express needs. Craver: Offer soft support.
Sharer vs. Hunter,N-W-G x C-W-R,Neutral giver meets content seeker—gentle offer vs. joyful want.,Sharer may envy Hunter; Hunter may lean on Sharer.,Sharer: Share wants. Hunter: Reciprocate.
Sharer vs. Flow,N-W-G x N-N-G,Neutral giver meets neutral giver—gentle offer vs. steady offer.,Both may overgive; balance may falter.,Sharer: Pause giving. Flow: Match effort.
Sharer vs. Echo,N-W-G x N-N-N,Neutral giver meets neutral flat—gentle offer vs. stasis.,Sharer may stir Echo; Echo may dull Sharer.,Sharer: Lead gently. Echo: Respond minimally.
Sharer vs. Sponge,N-W-G x N-N-R,Neutral giver meets neutral receiver—gentle offer vs. passivity.,Sharer may feel used; Sponge may shrink.,Sharer: Limit giving. Sponge: Show appreciation.
Sharer vs. Hand,N-W-G x N-O-G,Neutral giver meets neutral giver—gentle offer vs. reliable duty.,Both may overgive; no receiving.,Sharer: Rest some. Hand: Balance effort.
Sharer vs. Glide,N-W-G x N-O-N,Neutral giver meets neutral drifter—gentle offer vs. duty-bound calm.,Sharer may push Glide; Glide may withdraw.,Sharer: Be patient. Glide: Meet halfway.
Sharer vs. Fetcher,N-W-G x N-O-R,Neutral giver meets neutral duty-taker—gentle offer vs. calm receipt.,Sharer may overload Fetcher; Fetcher may resist.,Sharer: Ease giving. Fetcher: Share pace.
Twin Soft Sharers,N-W-G x N-W-G,"Both neutral, wanting, giving—gently offering to each other.",Over-giving without receiving could unbalance.,Ensure mutual exchange; appreciate each other’s efforts.
Dreamer vs. Beacon,N-W-N x C-N-G,Neutral craver meets content giver—idle want vs. steady peace.,Dreamer may exhaust Beacon; Beacon may tire.,Dreamer: Accept calm. Beacon: Be patient.
Dreamer vs. Drift,N-W-N x C-N-N,Neutral craver meets content drifter—idle want vs. serene calm.,Dreamer may stir Drift; Drift may ignore Dreamer.,Dreamer: Be gentle. Drift: Acknowledge need.
Dreamer vs. Keeper,N-W-N x C-N-R,Neutral craver meets content receiver—idle want vs. peaceful take.,Dreamer may disrupt Keeper; Keeper may seem aloof.,Dreamer: Calm demands. Keeper: Engage lightly.
Dreamer vs. Toiler,N-W-N x C-O-G,Neutral craver meets content giver—idle want vs. joyful duty.,Dreamer may lean on Toiler; Toiler may overgive.,Dreamer: Reciprocate. Toiler: Balance giving.
Dreamer vs. Yoke,N-W-N x C-O-N,Neutral craver meets content drifter—idle want vs. light duty.,Dreamer may disrupt Yoke; Yoke may seem distant.,Dreamer: Ease up. Yoke: Connect gently.
Dreamer vs. Duty,N-W-N x C-O-R,Neutral craver meets content duty-taker—idle want vs. glad receipt.,Dreamer may envy Duty; Duty may push Dreamer.,Dreamer: Share wants. Duty: Offer light aid.
